NO,병원명,병원구분,전화번호,소재지주소,Latitude,Longitude,외래키
1,행복한가정의학과의원,가정의학과,041-553-6575,충청남도 천안시 동남구 터미널9길 25 303호 (신부동 신비프라자),36.8232212,127.1554278,2
2,고려가정의학과의원,가정의학과,041-622-9398,충청남도 천안시 동남구 목천읍 신계1길 41 401호 (동우아파트상가),36.7720166,127.1938805,2
3,히스기야가정의학과의원,가정의학과,041-557-7506,충청남도 천안시 동남구 남부대로 322 청당스타빌딩 4층 (청당동),36.7812443,127.1530614,2
4,한사랑가정의학과의원,가정의학과,041-573-5595,"충청남도 천안시 동남구 일봉로 8 학산빌딩 3,4층 (신방동)",36.7933083,127.1294545,2
5,직산가정의학과의원,가정의학과,041-583-8500,충청남도 천안시 서북구 직산읍 직산로 31 2층,36.8801031,127.1537074,2
6,정가정의학과의원,가정의학과,041-582-1117,충청남도 천안시 서북구 직산읍 삼은3길 45 2층,36.8797309,127.1536576,2
7,성모가정의학과의원,가정의학과,041-552-5256,충청남도 천안시 서북구 부성7길 3 204호 (두정동 레몬타워),36.8372548,127.1340714,2
8,연세수빛내과가정의학과의원,가정의학과,041-414-7505,"충청남도 천안시 서북구 성성8로 14-4 미주타워 6층 601,602,603호 (성성동)",36.8403854,127.1287457,2
9,예일가정의학과의원,가정의학과,522-5114,충청남도 천안시 서북구 늘푸른6길 41 상가동 2층 (두정동 극동아파트),36.8294826,127.1319981,2
10,유제열가정의학과의원,가정의학과,041-574-4101,충청남도 천안시 서북구 성정로 103 (성정동),36.813781,127.1414761,2
11,서울더블유내과의원,내과,041-415-0053,"충청남도 천안시 동남구 목천읍 충절로 935-5 2,3층",36.7758408,127.2129608,1
12,속편한내과의원,내과,041-551-6368,충청남도 천안시 동남구 만남로 64 3층 302호 (신부동),36.8190416,127.1594364,1
13,김현응내과의원,내과,041-563-9858,충청남도 천안시 동남구 방죽안3길 19 (신부동 김현웅내과),36.8228236,127.1543605,1
14,김재하내과의원,내과,041-558-8500,충청남도 천안시 동남구 만남로 42 5층 (신부동),36.8186226,127.1568858,1
15,김철현내과의원,내과,041-522-1900,충청남도 천안시 동남구 충절로 25 (신부동 내과의원),36.8281267,127.1706232,1
16,천안정다운내과의원,내과,041-414-0500,충청남도 천안시 동남구 버들로 115-2 다온메디피아 2층 (원성동),36.8066476,127.1593112,1
17,한내과의원,내과,041-563-7575,충청남도 천안시 동남구 문화1길 5-1 (문화동),36.8084756,127.1507979,1
18,이수남내과의원,내과,551-8020,충청남도 천안시 동남구 중앙로 54 (영성동),36.8029521,127.1518297,1
19,윤여일내과의원,내과,555-1069,충청남도 천안시 동남구 구성1길 1 2층 (구성동),36.7945721,127.1600557,1
20,청수내과의원,내과,041-545-2500,충청남도 천안시 동남구 청수6로 103 3층 (청수동),36.7891052,127.15521,1
21,새로운내과의원,내과,041-565-7588,충청남도 천안시 동남구 청수14로 56 3층 (청당동),36.7839317,127.1526116,1
22,상쾌한내과의원,내과,592-7582,충청남도 천안시 동남구 풍세로 798 3층 (청당동),36.7805849,127.1425299,1
23,이낙원내과의원,내과,041-574-5119,충청남도 천안시 동남구 서부대로 278 (신방동 학산TWIN빌딩),36.7930851,127.1293361,1
24,이석훈내과의원,내과,041-577-5711,충청남도 천안시 동남구 서부대로 276 (신방동),36.792686,127.1293511,1
25,김정훈내과의원,내과,041-579-3420,"충청남도 천안시 동남구 서부대로 285 3층 302,303호 (신방동)",36.7933356,127.1284132,1
26,천안엔도내과의원,내과,041-592-7201,충청남도 천안시 동남구 서부대로 293 삼성빌딩 5층 (신방동),36.7938213,127.1276494,1
27,곽병수내과의원,내과,041-574-6943,충청남도 천안시 동남구 서부대로 227 3층 (신방동 예은빌딩),36.788642,127.1283634,1
28,서울내과의원,내과,041-579-1600,충청남도 천안시 동남구 서부대로 221 4층 (신방동),36.7881318,127.1283979,1
29,배편한배내과의원,내과,041-417-0700,충청남도 천안시 동남구 신촌4로 34 금강빌딩 3층 (신방동),36.7891697,127.1251565,1
30,더편한내과의원,내과,041-579-0528,충청남도 천안시 동남구 통정11로 61 3층 (신방동),36.773541,127.1333561,1
31,허윤내과의원,내과,041-583-7582,충청남도 천안시 서북구 입장면 입장로 141 (입장면),36.9138896,127.2219161,1
32,김용현내과의원,내과,041-581-0363,충청남도 천안시 서북구 성환읍 성환12길 45-8 (성환읍),36.9174749,127.1334732,1
33,조병석내과의원,내과,582-0348,충청남도 천안시 서북구 성환읍 성환12길 26 2층,36.917276,127.1307686,1
34,장편한연합내과의원,내과,041-414-5100,충청남도 천안시 서북구 직산읍 봉주로 64 4층,36.8771032,127.153732,1
35,한사랑내과의원,내과,041-587-5287,충청남도 천안시 서북구 직산읍 삼은3길 4 2층,36.8773451,127.1508652,1
36,성성하나로내과의원,내과,041-553-7588,충청남도 천안시 서북구 업성수변로 94 2층 201호 (성성동),36.8493109,127.1381031,1
37,제일편한내과의원,내과,041-523-2778,충청남도 천안시 서북구 봉정로 370 4층 (두정동),36.8348934,127.1458122,1
38,천안오케이내과의원,내과,041-553-2479,충청남도 천안시 서북구 두정로 258 4층 (두정동),36.8329625,127.1457631,1
39,성성조은내과의원,내과,041-566-8175,충청남도 천안시 서북구 성성8로 14-12 4층 (성성동),36.8403844,127.1297315,1
40,서연석내과의원,내과,041-573-9879,충청남도 천안시 서북구 동서대로 135 (성정동),36.8261423,127.138371,1
41,세인트내과의원,내과,622-5800,충청남도 천안시 서북구 서부대로 717 (두정동),36.8311169,127.1330025,1
42,류마앤장내과의원,내과,041-523-7767,충청남도 천안시 서북구 쌍용대로 316 영현빌딩 2~4층 (성정동),36.8254087,127.1376442,1
43,김종훈내과의원,내과,522-2058,충청남도 천안시 서북구 서부대로 688 3층 (성정동),36.8284199,127.1335503,1
44,서울삼성내과의원,내과,041-553-7870,충청남도 천안시 서북구 두정로 104 2층 (두정동),36.8336484,127.1283282,1
45,한빛내과의원,내과,041-578-0075,충청남도 천안시 서북구 쌍용대로 293 2층 (성정동),36.823568,127.1364395,1
46,준내과의원,내과,561-7752,충청남도 천안시 서북구 늘푸른5길 22 3층 (두정동),36.8273204,127.1296961,1
47,성정윌내과의원,내과,041-588-3200,충청남도 천안시 서북구 성정로 82 3층 (성정동),36.8135482,127.1391703,1
48,천안연세내과의원,내과,041-417-7505,충청남도 천안시 서북구 한들2로 8 6층 603.604.605호 (백석동),36.8235834,127.1188973,1
49,윤석중내과의원,내과,041-571-8172,충청남도 천안시 서북구 미라15길 23 2층 (쌍용동 대우타워종합상가),36.8063596,127.1314446,1
50,원내과의원,내과,041-573-6633,충청남도 천안시 서북구 쌍용대로 79 (쌍용동),36.8046746,127.1318615,1
51,유웅선내과의원,내과,041-574-5333,충청남도 천안시 서북구 쌍용대로 43 (쌍용동),36.8012775,127.1313423,1
52,한솔내과의원,내과,041-577-7767,충청남도 천안시 서북구 불당대로 269 2층 (쌍용동),36.8003023,127.1259311,1
53,김앤윤내과의원,내과,041-577-5300,충청남도 천안시 서북구 충무로 205 3층 (쌍용동),36.7967037,127.1289014,1
54,불당사랑내과의원,내과,041-555-0901,충청남도 천안시 서북구 불당23로 70 정우프라자 5층 503호 (불당동),36.8176325,127.1088053,1
55,허준앤심내과의원,내과,041-574-2266,충청남도 천안시 서북구 불당대로 260 2층 (쌍용동),36.7995831,127.1244854,1
56,양종오내과의원,내과,041-622-0500,"충청남도 천안시 서북구 불당21로 67-18 6층 602,603호 (불당동)",36.8140563,127.1085317,1
57,삼성라온내과의원,내과,041-568-7575,충청남도 천안시 서북구 월봉로 134 4층 (쌍용동 리치프라자),36.8025965,127.1191429,1
58,박태욱미소내과의원,내과,041-576-1616,충청남도 천안시 서북구 충무로 178 4층 (쌍용동),36.7943392,127.1269017,1
59,이재석내과의원,내과,041-577-3222,충청남도 천안시 서북구 충무로 172 3층 (쌍용동),36.7939771,127.1264812,1
60,불당내과의원,내과,041-414-7507,충청남도 천안시 서북구 불당21로 71 3층 304호 (불당동),36.8129586,127.1081765,1
61,닥터정내과의원,내과,041-571-7577,충청남도 천안시 서북구 월봉로 122 하나메디컬타운 5층 501~502 504호 (쌍용동),36.8014944,127.1189175,1
62,우리튼튼내과의원,내과,041-566-0771,충청남도 천안시 서북구 불당33길 26 4층 (불당동),36.812454,127.1078597,1
63,주내과의원,내과,041-575-3600,충청남도 천안시 서북구 월봉로 89 2층 (쌍용동),36.7986972,127.1179368,1
64,SG삼성조은병원,내과,041-571-7581,"충청남도 천안시 서북구 불당25로 200 2,3,4,5층 (불당동)",36.818877,127.1091851,1
65,예일병원,내과,041-571-7000,충청남도 천안시 서북구 충무로 129 (쌍용동),36.8006931,127.1224079,1
66,천안시동면보건지소,내과,041-521-2583,충청남도 천안시 동남구 동면 동산1길 15-1 동면보건지소,36.7758859,127.3442416,1
67,천안시북면보건지소,내과,521-2578,충청남도 천안시 동남구 북면 위례성로 724-2 (북면),36.8273654,127.2736874,1
68,천안시병천면보건지소,내과,041-521-2581,충청남도 천안시 동남구 병천면 병천2로 57-1 보건과병천보건지소,36.7664627,127.3020393,1
69,천안시목천읍보건지소,내과,041-521-2574,충청남도 천안시 동남구 목천읍 서리1길 41-9 41,36.7854156,127.2347619,1
70,천안시수신면보건지소,내과,041-521-2580,충청남도 천안시 동남구 수신면 수신로 436 (수신면),36.7308218,127.2817456,1
71,천안시성남면보건지소,내과,041-521-2579,충청남도 천안시 동남구 성남면 신사대화로 141 (성남면),36.7427197,127.2359487,1
72,천안시풍세면보건지소,내과,041-521-2576,충청남도 천안시 동남구 풍세면 상정1길 9 (풍세면),36.7221059,127.1182581,1
73,천안시광덕면보건지소,내과,041-521-2577,충청남도 천안시 동남구 광덕면 신흥리3길 33-1 광덕면보건지소,36.6986182,127.1111868,1
74,천안시입장면보건지소,내과,041-521-2575,충청남도 천안시 서북구 입장면 입장로 129 (입장면),36.9127562,127.2213044,1
75,천안시성거읍보건지소,내과,041-521-2572,충청남도 천안시 서북구 성거읍 봉주로 469 469,36.8778455,127.1990762,1
76,천안시성환읍보건지소,내과,041-550-2081,충청남도 천안시 서북구 성환읍 성환13길 7 (성환읍),36.9182019,127.1342493,1
77,천안시직산읍보건지소,내과,041-521-2573,충청남도 천안시 서북구 성거읍 봉주로 75 (성거읍),36.8782474,127.1551983,1
78,신세계마취통증의학과의원,마취통증의학과,041-522-9090,충청남도 천안시 동남구 만남로 58 3층 (신부동),36.8187143,127.1587615,3
79,터미널마취통증의학과의원,마취통증의학과,041-565-7585,충청남도 천안시 동남구 만남로 42 3층 (신부동),36.8186226,127.1568858,3
80,서울성모마취통증의학과의원,마취통증의학과,041-414-7227,충청남도 천안시 동남구 만남로 40 광산빌딩 3층 (신부동),36.8185687,127.1566181,3
81,최무수마취통증의학과의원,마취통증의학과,041-578-7575,충청남도 천안시 동남구 만남로 34 (신부동),36.8185949,127.1559031,3
82,천안바른마취통증의학과의원,마취통증의학과,041-414-7570,"충청남도 천안시 동남구 대흥로 118 2,3층 (사직동)",36.8002178,127.1498871,3
83,조은마취통증의학과의원,마취통증의학과,041-902-7582,충청남도 천안시 동남구 서부대로 227 2층 (신방동 예은빌딩),36.7885767,127.1285043,3
84,참편한마취통증의학과의원,마취통증의학과,041-588-7582,충청남도 천안시 서북구 성환읍 성환11길 21 (성환읍),36.9169764,127.130464,3
85,서울마취통증의학과의원,마취통증의학과,041-581-7755,충청남도 천안시 서북구 성환읍 연암율금로 508 3층 306호,36.9110392,127.1341554,3
86,연세윤마취통증의학과의원,마취통증의학과,557-1982,충청남도 천안시 서북구 두정로 244 (두정동),36.8331266,127.1439938,3
87,푸른나무마취통증의학과의원,마취통증의학과,041-566-7588,충청남도 천안시 서북구 두정로 202 5층 (두정동),36.8334227,127.1393148,3
88,호수앤마취통증의학과의원,마취통증의학과,041-900-2225,"충청남도 천안시 서북구 성성8로 2-42 한결타워 2,3층 (성성동)",36.8401781,127.1287412,3
89,바로나마취통증의학과의원,마취통증의학과,041-582-8585,충청남도 천안시 서북구 동서대로 129 단국성정빌딩 7층 701호 (성정동),36.826198,127.137777,3
90,김유재마취통증의학과의원,마취통증의학과,578-0750,충청남도 천안시 서북구 충무로 215 5층 (쌍용동 진솔빌딩),36.7971622,127.1293807,3
91,최마취통증의학과의원,마취통증의학과,041-574-5988,충청남도 천안시 서북구 충무로 201 (쌍용동 월정빌딩 3층),36.7964687,127.1288317,3
92,새힘마취통증의학과의원,마취통증의학과,041-575-7579,충청남도 천안시 서북구 충무로 194 2층 (쌍용동),36.7952989,127.1283184,3
93,우리신세계마취통증의학과의원,마취통증의학과,041-576-8275,충청남도 천안시 서북구 충무로 175 (쌍용동),36.7989042,127.1201534,3
94,하나마취통증의학과의원,마취통증의학과,041-573-5001,충청남도 천안시 서북구 충무로 125 4층 (쌍용동),36.7927872,127.1213255,3
95,천안시동남구보건소,보건소,041-521-2651,충청남도 천안시 동남구 버들로 34 (문화동),36.8074794,127.1511502,4
96,천안시서북구보건소,보건소,041-521-2552,충청남도 천안시 서북구 번영로 156 (불당동),36.8091364,127.1063221,4
97,유로센터서경근비뇨기과의원,비뇨기과,041-523-0690,충청남도 천안시 동남구 만남로 43 3층 (신부동),36.8202827,127.1567089,19
98,이에스길비뇨기과의원,비뇨기과,041-523-8808,충청남도 천안시 동남구 만남로 50 801호 (신부동 터미널프라자),36.8186598,127.1575848,19
99,방비뇨기과의원,비뇨기과,563-7559,충청남도 천안시 동남구 대흥로 274 2층 (성황동),36.8122721,127.1491747,19
100,삼성비뇨기과의원,비뇨기과,041-578-0875,충청남도 천안시 서북구 충무로 178 2층 201~203호 (쌍용동),36.7967037,127.1289014,19
101,굿모닝비뇨기과의원,비뇨기과,041-571-0050,"충청남도 천안시 서북구 충무로 175 2(205호),5층 (쌍용동)",36.7948739,127.1263714,19
102,채움비뇨의학과의원,비뇨기과,041-555-6667,충청남도 천안시 서북구 불당21로 71 4층 403호 (불당동),36.8129586,127.1081765,19
103,최필선비뇨기과의원,비뇨기과,041-572-7200,충청남도 천안시 서북구 월봉로 89 3층 (쌍용동),36.7986972,127.1179368,19
104,양현민비뇨기과의원,비뇨기과,041-577-5246,충청남도 천안시 서북구 충무로 130 2층 (쌍용동),36.7925459,127.1219772,19
105,맨돌핀비뇨의학과의원,비뇨기과,041-558-3335,충청남도 천안시 동남구 만남로 64 2층 201호 (신부동),36.8190416,127.1594364,19
106,에스앤유서울비뇨의학과의원,비뇨기과,041-414-1752,충청남도 천안시 동남구 만남로 40 5층 (신부동),36.8186097,127.1566118,19
107,수비뇨의학과의원,비뇨기과,041-574-3200,충청남도 천안시 동남구 서부대로 276 학산프라자 4층 (신방동),36.792686,127.1293511,19
108,연세탑비뇨기과의원,비뇨기과,556-8275,충청남도 천안시 서북구 두정로 220 4층 (두정동),36.833272,127.1414241,19
109,혜성산부인과병원,산부인과,041-572-4567,충청남도 천안시 서북구 미라2길 18-11 (쌍용동),36.8009358,127.1304872,5
110,이화병원,산부인과,041-579-1400,충청남도 천안시 서북구 충무로 165 외 1(충무로 161) (쌍용동),36.7940164,127.1251093,5
111,애니산부인과의원,산부인과,041-561-7799,충청남도 천안시 동남구 만남로 44 3층 (신부동),36.818635,127.1570978,5
112,애플산부인과의원,산부인과,041-622-8887,충청남도 천안시 동남구 만남로 42 601~602호 (신부동),36.8186226,127.1568858,5
113,안창훈산부인과의원,산부인과,041-553-7533,충청남도 천안시 동남구 만남로 15 3층 (신부동),36.8191219,127.1539374,5
114,연세하임산부인과의원,산부인과,041-412-5555,"충청남도 천안시 동남구 수곡2길 17-17 지하1층,지상1,2,3,4,6층 (신방동)",36.7908653,127.1268211,5
115,리즈앤마리안산부인과의원,산부인과,041-523-6100,충청남도 천안시 서북구 두정로 204 (두정동),36.8334086,127.1395609,5
116,광제산부인과의원,산부인과,041-575-3200,충청남도 천안시 서북구 서부18길 23 (성정동),36.8243202,127.140278,5
117,퀸스산부인과의원,산부인과,041-569-2000,충청남도 천안시 서북구 성정공원1길 9-13 (성정동),36.8264819,127.1378037,5
118,수연산부인과의원,산부인과,041-621-5501,충청남도 천안시 서북구 성정중7길 3 4층 (성정동),36.828902,127.1335735,5
119,미즈산부인과의원,산부인과,041-575-6288,충청남도 천안시 서북구 성정로 91 (성정동),36.8138655,127.1402361,5
120,고운빛산부인과의원,산부인과,041-567-1188,충청남도 천안시 서북구 백석3로 130-14 (백석동),36.8221728,127.1258301,5
121,에덴산부인과의원,산부인과,041-578-3575,충청남도 천안시 서북구 미라11길 37 2~5층 (쌍용동),36.8042992,127.1317959,5
122,라팡산부인과의원,산부인과,041-567-7575,충청남도 천안시 서북구 불당21로 67-18 5층 502호 (불당동),36.8140563,127.1085317,5
123,미소인류시나산부인과의원,산부인과,041-577-3575,충청남도 천안시 서북구 월봉로 122 403호 (쌍용동),36.8014944,127.1189175,5
124,이은희산부인과의원,산부인과,041-567-0020,충청남도 천안시 서북구 불당33길 24 701호 (불당동),36.8123855,127.108192,5
125,이룸산부인과의원,산부인과,041-522-8305,충청남도 천안시 서북구 검은들3길 58 304호 (불당동 메가클래스블루),36.8099394,127.1098332,5
126,미소진산부인과의원,산부인과,041-522-7588,충청남도 천안시 서북구 동서대로 125-3 4층 403호 (성정동 천안크리닉),36.8263031,127.1368971,5
127,박병일성형외과의원,성형외과,041-554-6161,충청남도 천안시 동남구 만남로 52 5층 (신부동 문타워빌딩),36.8186608,127.157844,6
128,황일면성형외과의원,성형외과,041-568-7500,충청남도 천안시 동남구 만남로 44 (신부동 남경빌딩),36.8329881,127.1363635,6
129,성모성형외과의원,성형외과,568-3535,충청남도 천안시 동남구 만남로 40 (신부동),36.8186097,127.1566118,6
130,압구정라인성형외과의원,성형외과,041-553-8090,충청남도 천안시 동남구 만남로 30 3층 (신부동),36.818558,127.1553993,6
131,몽벨리아성형외과의원,성형외과,041-566-4458,충청남도 천안시 서북구 두정로 188 3층 (두정동),36.83301,127.1376575,6
132,압구정케이엠성형외과천안본점의원,성형외과,041-572-7185,충청남도 천안시 서북구 충무로 175 (쌍용동),36.7989042,127.1201534,6
133,김영순성형외과의원,성형외과,571-1100,충청남도 천안시 서북구 충무로 215 5층 (쌍용동 진솔빌딩),36.7971622,127.1293807,6
134,오리진성형외과의원,성형외과,041-561-1135,충청남도 천안시 서북구 공원로 219 2층 214~221호 (불당동),36.8001802,127.1036565,6
135,두정이진병원,소아청소년과,041-562-2021,충청남도 천안시 서북구 동서대로 65 (두정동),36.8260764,127.1305385,7
136,미래아이소아청소년과의원,소아청소년과,041-569-6655,충청남도 천안시 동남구 만남로 50 6층 (신부동),36.8186528,127.1576051,7
137,제일소아청소년과의원,소아청소년과,555-2475,충청남도 천안시 동남구 충절로 260 3층 (구성동),36.7955609,127.1592239,7
138,전학수소아청소년과의원,소아청소년과,041-555-6575,충청남도 천안시 동남구 청수4로 10 203호 (청당동),36.7827605,127.1529517,7
139,청당진소아청소년과의원,소아청소년과,041-417-7501,충청남도 천안시 동남구 청당5로 36 4층 404호 (청당동),36.7834019,127.1449272,7
140,드림아이소아청소년과의원,소아청소년과,041-567-4575,충청남도 천안시 동남구 서부대로 229 (신방동 자성빌딩),36.7887323,127.1284517,7
141,신통이진소아청소년과의원,소아청소년과,041-571-1275,충청남도 천안시 동남구 통정5로 68 2층 (신방동),36.7747686,127.1341784,7
142,조영번소아청소년과의원,소아청소년과,041-556-1588,충청남도 천안시 서북구 성거읍 성거길 89 1층,36.8733895,127.201069,7
143,가나다소아청소년과의원,소아청소년과,041-903-8885,충청남도 천안시 서북구 업성수변로 94 2층 203호 (성성동),36.8493109,127.1381031,7
144,아이힐소아청소년과의원,소아청소년과,041-415-0405,충청남도 천안시 서북구 동서대로 135 6~8층 (성정동),36.8261423,127.138371,7
145,서울수소아청소년과의원,소아청소년과,041-558-4136,충청남도 천안시 서북구 노태산로 73 2층 202호 (백석동),36.8313771,127.1269957,7
146,다나소아청소년과의원,소아청소년과,041-581-7566,충청남도 천안시 서북구 노태산로 62 2층 (두정동),36.8302761,127.1276185,7
147,백석소아청소년과의원,소아청소년과,041-556-1236,충청남도 천안시 서북구 한들3로 83 203호 (백석동),36.8310842,127.1232431,7
148,아이본소아청소년과의원,소아청소년과,041-415-0101,충청남도 천안시 서북구 한들3로 30 4층 (백석동),36.8264714,127.123896,7
149,스마일소아청소년과의원,소아청소년과,041-569-4040,충청남도 천안시 서북구 3공단6로 58-8 차암동 3층 3호 (차암동),36.8410177,127.1039718,7
150,웰소아청소년과의원,소아청소년과,041-566-5575,충청남도 천안시 서북구 한들2로 8 3층 (백석동),36.8235834,127.1188973,7
151,최재혁소아청소년과의원,소아청소년과,041-417-7579,"충청남도 천안시 서북구 불당25로 182 4층 4,5호 (불당동)",36.8173067,127.1087044,7
152,연세엘소아청소년과의원,소아청소년과,041-567-7582,충청남도 천안시 서북구 불당22대로 67 2층 202호 (불당동),36.8165089,127.1065549,7
153,스위트소아청소년과의원,소아청소년과,041-577-5510,충청남도 천안시 서북구 월봉로 132 4층 (쌍용동),36.8023576,127.1190918,7
154,김종인소아청소년과의원,소아청소년과,041-577-3373,충청남도 천안시 서북구 충무로 174 (쌍용동),36.8006931,127.1224079,7
155,뉴이진소아청소년과의원,소아청소년과,041-579-2020,충청남도 천안시 서북구 충무로 167 (쌍용동),36.8006931,127.1224079,7
156,자라는소아청소년과의원,소아청소년과,041-543-1272,"충청남도 천안시 서북구 공원로 176 천안불당 시티프라디움 3차 근린생활시설-3 지하1층 B122,B123,B124호 (불당동)",36.797132,127.0992974,7
157,새로나병원,신경과,041-520-7010,충청남도 천안시 동남구 향교1길 130-23 (유량동 새로나병원),36.8127331,127.1694601,8
158,천안21세기병원,신경과,1522-7634,충청남도 천안시 서북구 부성6길 39-11 (두정동),36.836619,127.1378999,8
159,도화범신경과의원,신경과,041-552-1050,"충청남도 천안시 동남구 만남로 6 8층 8001,8002,8003호 (신부동)",36.8184346,127.1525903,8
160,찬스신경과의원,신경과,041-415-2235,충청남도 천안시 서북구 충무로 205 4층 (쌍용동 다선빌딩),36.8006931,127.1224079,8
161,삼성스마트김석재신경과의원,신경과,041-417-7507,충청남도 천안시 서북구 불당21로 67-8 5층 503호 (불당동),36.8132932,127.1082874,8
162,이앤오신경과의원,신경과,041-522-2501,충청남도 천안시 서북구 불당21로 71 402호 (불당동),36.8129586,127.1081765,8
163,리더스신경외과의원,신경과,041-551-7582,충청남도 천안시 서북구 불당33길 34 2층 (불당동),36.8119686,127.1069198,8
164,홍성조신경외과의원,신경과,041-555-2578,충청남도 천안시 동남구 만남로 11 (신부동),36.8190541,127.1534654,8
165,홍순형 신경정신과의원,신경과,567-5023,충청남도 천안시 동남구 만남로 34 (신부동 선진빌딩),36.8185949,127.1559031,8
166,혜민신경정신과의원,신경과,552-8017,충청남도 천안시 동남구 충절로 177 (원성동),36.8029922,127.1592217,8
167,W여성외과의원,외과,041-568-8300,충청남도 천안시 서북구 불당25로 176 4층 401~403호 (불당동),36.8162185,127.1091163,9
168,제일영상의학과의원,외과,041-553-9600,충청남도 천안시 동남구 충절로 6 5층 (신부동),36.8184766,127.1579459,9
169,치항외과의원,외과,041-551-6077,충청남도 천안시 동남구 만남로 43 (신부동 신세계백화점충청점),36.8195465,127.156151,9
170,송재화외과의원,외과,558-1118,충청남도 천안시 서북구 성거읍 성거길 103 2층,36.8747314,127.2009064,9
171,두정바른정형외과의원,외과,041-417-7551,충청남도 천안시 서북구 봉정로 356 4층 401~405호 (두정동),36.8332466,127.155501,9
172,김혜은여성외과의원,외과,574-0100,충청남도 천안시 서북구 두정로 202 6층 (두정동),36.8334227,127.1393148,9
